links,account,accountingbook,accountingperiod,amount,department,iscustomglline,subsidiary
[],111,1,22,-58559.12,-1,F,15
[],111,1,22,-83612.3,-1,F,16
[],111,1,22,-164.34,-1,F,18
[],111,1,22,4784.42,-1,F,19
[],111,1,22,30183.94,-1,F,20
[],111,1,22,2170,-1,F,22
[],111,1,22,-15,-1,F,23
[],111,1,22,5124.25,-1,F,27
[],111,1,24,0,-1,F,2
[],111,1,24,2043.08,-1,F,3
[],111,1,24,349.57,-1,F,4
[],111,1,24,-1988.17,-1,F,6
[],111,1,24,2050,-1,F,11
[],111,1,24,720,-1,F,12
[],111,1,24,-305.44,-1,F,13
[],111,1,24,-550,-1,F,14
[],111,1,24,24857.82,-1,F,15
[],111,1,24,67750.58,-1,F,16
[],111,1,24,-2483.63,-1,F,18
[],111,1,24,14705.98,-1,F,19
[],111,1,24,-383,-1,F,20
[],111,1,24,0,-1,F,22
[],111,1,24,-15,-1,F,23
[],111,1,24,-6004.65,-1,F,27
[],111,1,25,0,-1,F,1
[],111,1,25,-2269.04,-1,F,3
[],111,1,25,-1526.44,-1,F,4
[],111,1,25,1078.17,-1,F,6
[],111,1,25,0,-1,F,11
[],111,1,25,710.44,-1,F,13
[],111,1,25,-143.91,-1,F,14
[],111,1,25,-2082.32,-1,F,15
[],111,1,25,-2942.73,-1,F,16
[],111,1,25,2647.97,-1,F,18
[],111,1,25,2477,-1,F,20
[],111,1,25,0,-1,F,22
[],111,1,25,15,-1,F,23
[],111,1,25,-14083.97,-1,F,27
[],111,1,26,-3235,-1,F,3
[],111,1,26,1338.83,-1,F,4
[],111,1,26,1659.19,-1,F,6
[],111,1,26,-566.24,-1,F,11
[],111,1,26,0,-1,F,12
[],111,1,26,0,-1,F,13
[],111,1,26,0,-1,F,14
[],111,1,26,43761.92,-1,F,15
[],111,1,26,-1297.88,-1,F,16
[],111,1,26,0,-1,F,17
[],111,1,26,-47.97,-1,F,18
[],111,1,26,0,-1,F,19
[],111,1,26,-21685,-1,F,20
[],111,1,26,0,-1,F,22
[],111,1,26,15,-1,F,23
[],111,1,26,-3677.81,-1,F,27
[],111,1,28,7014.7,-1,F,3
[],111,1,28,81.5,-1,F,4
[],111,1,28,17.31,-1,F,6
[],111,1,28,566.24,-1,F,11
[],111,1,28,-520,-1,F,13
[],111,1,28,216.5,-1,F,14
[],111,1,28,-59091.91,-1,F,15
[],111,1,28,22267.49,-1,F,16
[],111,1,28,-19350.5,-1,F,18
[],111,1,28,0,-1,F,19
[],111,1,28,-57505.03,-1,F,20
[],111,1,28,216.5,-1,F,22
[],111,1,28,-3888.84,-1,F,27
[],111,1,29,403,-1,F,3
[],111,1,29,-834.5,-1,F,4
[],111,1,29,-2346.08,-1,F,6
[],111,1,29,-2610,-1,F,11
[],111,1,29,-765,-1,F,12
[],111,1,29,385,-1,F,13
[],111,1,29,8369.16,-1,F,15
[],111,1,29,1599.59,-1,F,16
[],111,1,29,20000,-1,F,18
[],111,1,29,-11337.74,-1,F,19
[],111,1,29,-48844.61,-1,F,20
[],111,1,29,-6562.41,-1,F,22
[],111,1,29,1800.64,-1,F,27
[],111,1,30,-518.52,-1,F,3
[],111,1,30,988.43,-1,F,4
[],111,1,30,-1150.29,-1,F,6
[],111,1,30,1160,-1,F,11
[],111,1,30,765,-1,F,12
[],111,1,30,135,-1,F,13
[],111,1,30,49061.7,-1,F,15
[],111,1,30,2405,-1,F,16
[],111,1,30,0,-1,F,18
[],111,1,30,3935.74,-1,F,19
[],111,1,30,75182.83,-1,F,20
[],111,1,30,5852.4,-1,F,22
[],111,1,30,11914.12,-1,F,27
[],111,1,30,-5750,-1,F,34
[],111,1,32,-19172.5,-1,F,3
[],111,1,32,-10125,-1,F,4
[],111,1,32,-8209.29,-1,F,6
[],111,1,32,1450,-1,F,11
[],111,1,32,0,-1,F,13
[],111,1,32,0,-1,F,14
[],111,1,32,-6389.62,-1,F,15
[],111,1,32,-2786.37,-1,F,16
[],111,1,32,-800,-1,F,18
[],111,1,32,7402,-1,F,19
[],111,1,32,8672.95,-1,F,20
[],111,1,32,-2018.08,-1,F,22
[],111,1,32,0,-1,F,23
[],111,1,32,-43915.43,-1,F,27
[],111,1,32,-21169.3,-1,F,34
[],111,1,33,-7054.12,-1,F,3
[],111,1,33,-6342.63,-1,F,4
[],111,1,33,3490.81,-1,F,6
[],111,1,33,0,-1,F,11
[],111,1,33,0,-1,F,13
[],111,1,33,0,-1,F,14
[],111,1,33,-40009.3,-1,F,15
[],111,1,33,-8348.63,-1,F,16
[],111,1,33,800,-1,F,18
[],111,1,33,0,-1,F,19
[],111,1,33,-34951.97,-1,F,20
[],111,1,33,0,-1,F,22
[],111,1,33,0,-1,F,23
[],111,1,33,-11804.12,-1,F,27
